01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Águeda,Município,Mulheres,,,,,1335.8
2009,Águeda,Município,Total,,,,,2084.3
2009,Aguiar da Beira,Município,Homens,,,,,78.1
2009,Aguiar da Beira,Município,Mulheres,,,,,90.0
2009,Aguiar da Beira,Município,Total,,,,,168.1
2009,Alandroal,Município,Homens,,,,,109.6
2009,Alandroal,Município,Mulheres,,,,,131.3
2009,Alandroal,Município,Total,,,,,240.8
2009,Albergaria-a-Velha,Município,Homens,,,,,461.4
2009,Albergaria-a-Velha,Município,Mulheres,,,,,692.5
2009,Albergaria-a-Velha,Município,Total,,,,,1153.9
2009,Albufeira,Município,Homens,,,,,1073.9
2009,Albufeira,Município,Mulheres,,,,,1218.1
2009,Albufeira,Município,Total,,,,,2292.0
2009,Alcácer do Sal,Município,Homens,,,,,214.1
2009,Alcácer do Sal,Município,Mulheres,,,,,216.0
2009,Alcácer do Sal,Município,Total,,,,,430.1
2009,Alcanena,Município,Homens,,,,,238.3
2009,Alcanena,Município,Mulheres,,,,,226.8
2009,Alcanena,Município,Total,,,,,465.1
2009,Alcobaça,Município,Homens,,,,,999.9
2009,Alcobaça,Município,Mulheres,,,,,1435.2
2009,Alcobaça,Município,Total,,,,,2435.1
2009,Alcochete,Município,Homens,,,,,299.7
2009,Alcochete,Município,Mulheres,,,,,278.9
2009,Alcochete,Município,Total,,,,,578.6
2009,Alcoutim,Município,Homens,,,,,17.3
2009,Alcoutim,Município,Mulheres,,,,,18.3
2009,Alcoutim,Município,Total,,,,,35.6
2009,Alenquer,Município,Homens,,,,,829.3
2009,Alenquer,Município,Mulheres,,,,,1070.9
2009,Alenquer,Município,Total,,,,,1900.2
2009,Alfândega da Fé,Município,Homens,,,,,91.1
2009,Alfândega da Fé,Município,Mulheres,,,,,154.3
2009,Alfândega da Fé,Município,Total,,,,,245.3
2009,Alijó,Município,Homens,,,,,259.5
2009,Alijó,Município,Mulheres,,,,,365.3
2009,Alijó,Município,Total,,,,,624.8
2009,Aljezur,Município,Homens,,,,,58.3
2009,Aljezur,Município,Mulheres,,,,,72.3
2009,Aljezur,Município,Total,,,,,130.5
2009,Aljustrel,Município,Homens,,,,,181.8
2009,Aljustrel,Município,Mulheres,,,,,200.7
2009,Aljustrel,Município,Total,,,,,382.5
2009,Almada,Município,Homens,,,,,3392.0
2009,Almada,Município,Mulheres,,,,,3411.9
2009,Almada,Município,Total,,,,,6803.9
2009,Almeida,Município,Homens,,,,,64.4
2009,Almeida,Município,Mulheres,,,,,93.8
2009,Almeida,Município,Total,,,,,158.3
2009,Almeirim,Município,Homens,,,,,473.0
2009,Almeirim,Município,Mulheres,,,,,529.4
2009,Almeirim,Município,Total,,,,,1002.4
2009,Almodôvar,Município,Homens,,,,,156.8
2009,Almodôvar,Município,Mulheres,,,,,326.2
2009,Almodôvar,Município,Total,,,,,482.9
2009,Alpiarça,Município,Homens,,,,,175.1
2009,Alpiarça,Município,Mulheres,,,,,153.3
2009,Alpiarça,Município,Total,,,,,328.4
2009,Alter do Chão,Município,Homens,,,,,61.3
2009,Alter do Chão,Município,Mulheres,,,,,68.9
2009,Alter do Chão,Município,Total,,,,,130.2
2009,Alvaiázere,Município,Homens,,,,,92.4
2009,Alvaiázere,Município,Mulheres,,,,,142.0
2009,Alvaiázere,Município,Total,,,,,234.4
2009,Alvito,Município,Homens,,,,,26.8
2009,Alvito,Município,Mulheres,,,,,49.1
2009,Alvito,Município,Total,,,,,75.8
2009,Amadora,Município,Homens,,,,,4228.8
2009,Amadora,Município,Mulheres,,,,,4301.2
2009,Amadora,Município,Total,,,,,8530.0
2009,Amarante,Município,Homens,,,,,1183.3
2009,Amarante,Município,Mulheres,,,,,2597.8
2009,Amarante,Município,Total,,,,,3781.1
2009,Amares,Município,Homens,,,,,356.8
2009,Amares,Município,Mulheres,,,,,557.9
2009,Amares,Município,Total,,,,,914.8
2009,Anadia,Município,Homens,,,,,450.4
2009,Anadia,Município,Mulheres,,,,,633.5
2009,Anadia,Município,Total,,,,,1083.9
2009,Angra do Heroísmo,Município,Homens,,,,x,
2009,Angra do Heroísmo,Município,Mulheres,,,,x,
2009,Angra do Heroísmo,Município,Total,,,,x,
2009,Ansião,Município,Homens,,,,,183.5
2009,Ansião,Município,Mulheres,,,,,346.9
2009,Ansião,Município,Total,,,,,530.4
2009,Arcos de Valdevez,Município,Homens,,,,,338.3
